"sku";"old_oryginal_price";"oryginal_url"
"HGS91150";"35.1900";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-30-liter-transparent-6my"
"HGS22698";"25.1600";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-10-liter-grau-6my"
"HGS22696";"20.2900";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-6-liter-transparent-6my"
"HGS22364";"42.2100";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-24-liter-weiss-14my"
"HGS95059";"42.7400";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-pe-ld-abfallbeutel-60-liter-schwarz-35-my-typ-60"
"HGS6667";"26.5500";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muellbeutel-24-liter-grau-6my"
"HGS22634";"31.7800";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-16-20-liter-transparent-6my"
"HGS410115";"53.8600";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muellbeutel-mit-henkel-35-liter-transparent-8-5-my"
"HGS59906";"31.6300";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-muellbeutel-16-liter-transparent-6-my"
"HGSBS-30-10";"137.6900";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/biomat-bio-abfallbeutel-30-liter-20-my"
"HGS56820";"49.5300";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-standard-abfallbeutel-30-liter-weiss-11-my"
"HGS20021";"54.5500";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-pe-ld-abfallbeutel-30-liter-blau-35-my-typ-60"
"HGS44904";"45.3700";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-universal-plus-abfallbeutel-30-liter-grau-5-my"
"HGS95034";"78.5200";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-pe-ld-abfallbeutel-30-liter-schwarz-25-my"
"HGS44901";"35.1900";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-universal-plus-abfallbeutel-6-liter-grau-6-my"
"HGS54908";"40.7700";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-pe-hd-abfallbeutel-30-liter-5-my"
"HGS410319";"32.6400";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muellbeutel-6-liter-grau-5-5-my"
"HGS12088-pap";"41.8900";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-tragegriffen-hdpe-60-l-75-cm-x-65-cm-transparent"
"HGS49901";"52.0400";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-pe-hd-muellbeutel-24-liter-transparent-6-my"
"HGS36021";"94.8500";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-pe-ld-muellbeutel-30-liter-weiss-12-my"
"HGS44902";"40.4200";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-universal-plus-abfallbeutel-15-liter-grau-6-my"
"HGS12086-pap";"50.1000";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-kosmetik-muellbeutel-ldpe-5-l-44-cm-x-36-cm-weiss"
"HGS204060";"83.2000";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/tork-204060-muellbeutel-50-liter-transparent"
"HGSBBH-10-26";"163.2200";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/biomat-bio-abfallbeutel-mit-henkel-10-liter-17-my"
"HGS34007";"91.2700";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-first-plus-abfallbeutel-30-liter-grau-11-my"
"HGS410014";"37.1800";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-ulith-muellbeutel-25-liter-transparent-5-5-my"
"HGS12077-pap";"37.1300";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-tragegriffen-hdpe-35-l-64-cm-x-54-cm-transparent"
"HGS410320";"30.6100";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muellbeutel-15-liter-grau-5-5-my"
"HGS410361";"39.0300";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muelleimerbeutel-30-liter-10-my"
"HGSBBH-20-26";"143.2800";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/biomat-bioabfallbeutel-20-liter-19-my"
"HGS10050-pap";"46.0300";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-25-l-52-cm-x-50-cm-transparent"
"HGS12104-pap";"43.7900";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-ldpe-60-l-72-cm-x-60-cm-weiss"
"HGS12461-pap";"54.6200";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-35-l-69-cm-x-55-cm-schwarz"
"HGS12075-pap";"35.4600";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-tragegriffen-hdpe-20-l-48-cm-x-47-cm-transparent"
"HGS12460-pap";"56.9800";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-35-l-69-cm-x-55-cm-transparent"
"HGS204020";"108.8900";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/tork-204020-b2-abfallsaecke-20-liter-weiss-15-my"
"HGSPSH-8-NF";"88.3000";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/biomat-bio-abfallbeutel-aus-kraftpapier-8-liter-einlagig-mit-henkel"
"HGS12436-pap";"62.5300";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-zugband-hdpe-30-l-62-cm-x-55-cm-gruen"
"HGS12065-pap";"42.6000";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-ldpe-30-l-60-cm-x-50-cm-grau"
"HGS14199-pap";"41.0400";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-zugband-ldpe-30-l-62-cm-x-53-cm-weiss"
"HGS12089-pap";"40.1900";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-18-l-52-cm-x-46-cm-weiss"
"HGSPS-7-NF";"78.4600";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/biomat-bio-abfallbeutel-aus-kraftpapier-7-liter-einlagig"
"HGS12439-pap";"56.9400";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-zugband-hdpe-20-l-55-cm-x-48-cm-transparent"
"HGS12333-pap";"41.6500";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-60-l-72-cm-x-60-cm-weiss"
"HGS402933";"44.5900";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muellbeutel-30-liter-blau-14-my"
"HGS12417-pap";"50.5800";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/papstar-muellbeutel-mit-zugband-hdpe-30-l-70-cm-x-55-cm-rot"
"HGS12459-pap";"49.5000";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-tragegriffen-hdpe-10-l-42-cm-x-39-5-cm-transparent"
"HGS410080";"55.4800";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-ulith-muelleimerbeutel-zugbandbeutel-30-liter-weiss-10-5-my"
"HGS12095-pap";"41.0600";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-30-l-60-cm-x-50-cm-farbig-sortiert"
"HGS12066-pap";"43.5100";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-ldpe-18-l-52-cm-x-46-cm-weiss"
"HGS14185-pap";"90.9200";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/papstar-kompostbeutel-aus-papier-mit-henkel-10-l-28-cm-x-22-cm-x-14-cm-braun-bedruckt"
"HGS12332-pap";"64.2600";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-hdpe-20-l-50-cm-x-45-cm-mint"
"HGS14184-pap";"48.0800";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/papstar-abfallbeutel-kraftpapier-10-l-35-cm-x-21-cm-x-15-cm-braun"
"HGS204040";"96.8700";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/tork-204040-advanced-abfallsaecke-b3-5-liter-schwarz"
"HGS410162";"53.7600";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muelleimerbeutel-mit-seitenfalten-30-liter-weiss-13-my"
"HGS88808-pap";"42.6000";"https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-ldpe-mit-duft-30-l-60-cm-x-50-cm-grau-lavender"
