sku;ean;old_oryginal_price;oryginal_url;new_sku;new_oryginal_url;new_ean;new_oryginal_price
HGS401542;4025648015427;88.3200;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-gelb-61-my-typ-80;HGS401542;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-gelb-61-my-typ-80;4025648015427;88.32
HGS49908;4001553499088;74.3000;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-universal-plus-abfallbeutel-60-liter-transparent-6-my;HGS49908;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-universal-plus-abfallbeutel-60-liter-transparent-6-my;4001553499088;74.30
HGS410128;4025648101281;57.4300;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-hostess-muellsaecke-mit-seitenfalten-60-80-liter-weiss-17-my-typ-30;HGS410128;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-hostess-muellsaecke-mit-seitenfalten-60-80-liter-weiss-17-my-typ-30;4025648101281;57.43
HGS400349;4025648003493;55.6600;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-profiline-muellsaecke-120-liter-blau-66-my-typ-100;HGS400349;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-profiline-muellsaecke-120-liter-blau-66-my-typ-100;4025648003493;55.66
HGSBS-120140-10;9007730000462;185.4300;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bio-abfallsaecke-120-liter-17-my;HGSBS-120140-10;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bio-abfallsaecke-120-liter-17-my;9007730000462;185.43
HGS400350;4025648003509;74.3500;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-140-liter-blau-40-my-typ-60;HGS400350;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-140-liter-blau-40-my-typ-60;4025648003509;74.35
HGS14196-pap;4002911241967;44.7300;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-ldpe-60-l-75-cm-x-65-cm-grau;HGS14196-pap;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-ldpe-60-l-75-cm-x-65-cm-grau;4002911241967;44.73
HGS11703;4001553117036;131.6500;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-70-liter-rot-150-my;HGS11703;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-70-liter-rot-150-my;4001553117036;131.65
HGSBS-6080-10;9007730000448;186.7100;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bioabfallsack-60-80-20-my;HGSBS-6080-10;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bioabfallsack-60-80-20-my;9007730000448;186.71
HGS400534;4025648005343;60.6100;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-180-liter-blau-56-my-typ-70;HGS400534;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-180-liter-blau-56-my-typ-70;4025648005343;60.61
