id;sku;oryginal_url;new_sku;new_ean;new_oryginal_price;new_oryginal_url
94;HGS31001286;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-rot-schwarz;HGS31001286;8713631001286;50.28;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-rot-schwarz
95;HGS31001293;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-weiss;HGS31001293;8713631001293;50.28;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-weiss
96;HGS31001316;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-schwarz;HGS31001316;8713631001316;50.28;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-feuerloeschender-papierkorb-15-liter-offen-schwarz
97;HGS31058112;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-industrieller-tritt-muelleimer-45-liter-weiss;HGS31058112;8713631058112;175.80;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-industrieller-tritt-muelleimer-45-liter-weiss
98;HGS31058105;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-industrieller-tritt-muelleimer-45-liter-edelstahl-matt-gebuerstet;HGS31058105;8713631058105;269.98;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-industrieller-tritt-muelleimer-45-liter-edelstahl-matt-gebuerstet
99;HGS727195;https://www.hygiene-shop.com/abfalleimer-muelleimer/wagner-ewar-wp-152-abfallbehaelter-34-liter-edelstahl-matt-gebuerstet;HGS727195;4250674813888;269.48;https://www.hygiene-shop.com/abfalleimer-muelleimer/wagner-ewar-wp-152-abfallbehaelter-34-liter-edelstahl-matt-gebuerstet
100;HGS13070;https://www.hygiene-shop.com/abfalleimer-muelleimer/dutch-bins-edelstahl-abfallbehaelter-50-liter-ac-bb-50-e-weiss;HGS13070;8717775681885;228.58;https://www.hygiene-shop.com/abfalleimer-muelleimer/dutch-bins-edelstahl-abfallbehaelter-50-liter-ac-bb-50-e-weiss
101;HGS13073;https://www.hygiene-shop.com/abfalleimer-muelleimer/dutch-bins-edelstahl-abfallbehaelter-50-liter-ac-bb-50-e-edelstahl-matt-gebuerstet;HGS13073;8717775683650;342.86;https://www.hygiene-shop.com/abfalleimer-muelleimer/dutch-bins-edelstahl-abfallbehaelter-50-liter-ac-bb-50-e-edelstahl-matt-gebuerstet
102;HGS0860-231;https://www.hygiene-shop.com/abfalleimer-muelleimer/hailo-grossraum-abfallbox-big-box-swing-xl-52-liter-weiss;HGS0860-231;4007126001559;97.48;https://www.hygiene-shop.com/abfalleimer-muelleimer/hailo-grossraum-abfallbox-big-box-swing-xl-52-liter-weiss
103;HGS0860-211;https://www.hygiene-shop.com/abfalleimer-muelleimer/hailo-grossraum-abfallbox-big-box-swing-xl-52-liter-edelstahl-hochglanz-poliert;HGS0860-211;4007126001535;111.79;https://www.hygiene-shop.com/abfalleimer-muelleimer/hailo-grossraum-abfallbox-big-box-swing-xl-52-liter-edelstahl-hochglanz-poliert
